id,ingredients
107,"Vodka, Gin, Lime juice cordial, Ice"
108,"Gin, Grand Marnier, Lemon juice, Lemon peel"
109,"Sweet Vermouth, Gin, Bitters"
110,"Tea, Rye whiskey, Red wine, Rum, Brandy, Benedictine, Orange juice, Lemon juice"
111,"Vodka, Southern Comfort, Passion fruit syrup, Sweet and sour, Club soda"
112,"Lemonade, Vodka, Blue Curacao, Triple sec, Sugar, Ice"
113,"Jägermeister, Goldschlager"
114,"Vodka, Lime juice, Soda water"
115,"Crown Royal, Kahlua, Cream"
116,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade"
117,"Gin, lemon juice, maraschino liqueur"
118,"Lemonade, Vodka, Rum, Ginger ale"
119,"Bailey's irish cream, Grand Marnier, Kahlua"
120,"Kahlua, Sambuca, Grand Marnier"
121,"Kahlua, Milk, Vanilla ice-cream"
122,"Kahlua, Bailey's irish cream"
123,"Light rum, Lime juice, Sugar syrup, Grenadine"
124,"Bailey's irish cream, Vanilla ice-cream, Cream"
125,"Scotch, Sweet Vermouth, Dry Vermouth, Bitters"
126,"Cantaloupe, Banana"
127,"Light rum, Triple sec, Banana, Lime juice, Sugar, Cherry"
128,"Milk, Orange juice, Sugar syrup, Banana"
129,"Strawberries, Banana, Yoghurt, Milk, Honey"
130,"Strawberries, Banana, Apple juice"
131,"Rum, Galliano, Pineapple Juice, Lime Juice, Prosecco"
132,"Vodka, Coconut liqueur, Blue Curacao, Sprite"
133,"Champagne, Peach schnapps"
134,"Ice, Vodka, Peach nectar, Peach schnapps, Lemon peel"
135,"Brandy, Gin, Dry Vermouth, Carbonated water, Lemon peel"
136,"Everclear, Wine, Orange juice, Kool-Aid"
137,"Brandy, Light rum, Triple sec, Lemon juice"
138,"Southern Comfort, Triple sec, Lime, Sour mix"
139,"Irish cream, Goldschlager"
140,"Ale, Guinness stout"
141,"Ice, Chocolate syrup, Cherry brandy, Vodka, Milk"
142,"Coffee liqueur, Vodka"
143,"Guinness stout, Root beer"
144,"Sweet Vermouth, Sloe gin, Lemon peel"
