id,ingredients
488,"Milk, Banana, Honey"
489,"Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca"
490,"Godiva liqueur, Milk"
491,"Grand Marnier, Coffee"
492,"Coffee, Jack Daniels, Amaretto, Whipped cream"
493,"Tequila, Lemon juice, Grenadine, Egg white, Ginger ale"
494,"Tequila, Lemon, Powdered sugar, Lemon, Cherry"
495,"Tequila, Orange juice, Grenadine"
496,"Tequila, Tabasco sauce"
497,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour"
498,"Kahlua, Irish cream, Amaretto, 151 proof rum, Cream"
499,"Coffee, Coriander, Cardamom, Sugar, Whipping cream, Ice"
500,"Coffee, Sugar, Cream, Cardamom"
501,"Tea, Water, Condensed milk, Ice, Mint"
502,"Creme de Cacao, Blue Curacao, Light rum"
503,"Scotch, Wine, Orange juice"
504,"Water, Brown sugar, Coffee, Rum, Vanilla extract"
505,"Gin, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange"
506,"Tomato juice, Lemon juice, Celery salt"
507,"Tequila, Lime Juice, Agave syrup"
508,"Dry Vermouth, Gin, Anis, Bitters, Orange peel"
509,"Wild Turkey, Amaretto, Pineapple juice"
510,"Dry Vermouth, Gin, Maraschino liqueur, Anis, Orange bitters, Cherry"
511,"Apricot brandy, Orange juice, Orange bitters"
512,"Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
513,"Light rum, Maple syrup, Lemon juice"
514,"Dry Vermouth, Creme de Cassis, Carbonated water"
515,"Gin, Vodka, Lillet Blanc"
516,"Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
517,"Dark rum, Cherry brandy"
518,"Gin, Sweet Vermouth, Brandy"
519,"Vodka, Lemon juice, Grape juice, Powdered sugar, Orange"
520,"Vodka, Tonic water"
521,"Vodka, Half-and-half, Limeade, Ice, Nutmeg"
522,"Vodka, Dry Vermouth, Olive"
523,"Vodka, Schweppes Russchian"
524,"Triple sec, Gin, Pineapple juice"
525,"Blended whiskey, Lemon, Powdered sugar, Cherry, Lemon"
526,"Scotch, Wine"
527,"Gin, Triple Sec, Lemon Juice"
528,"Vodka, Coffee liqueur, Light cream"
529,"Ice, Tequila, Cream of coconut, Lime juice"
530,"Red wine, Lemon-lime soda, Ice"
531,"Red wine, Lemon, Orange juice, Orange, Pineapple juice"
532,"White Rum, Galliano, Triple Sec, Lime Juice"
533,"Yoghurt, Fruit, Ice"
534,"Sambuca, Root beer, Ice"
535,"Jägermeister, Root beer"
536,"Vermouth, Apple juice"
537,"Zima, Chambord raspberry liqueur"
538,"Midori melon liqueur, Zima"
539,"Peachtree schnapps, Surge"
540,"Chambord raspberry liqueur, Vodka, Soda water"
541,"Amaretto, Rum, Kool-Aid"
542,"Cointreau, Lemon juice, Ice, Lemon"
543,"Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
544,"Vodka, Ouzo"
545,"Sambuca, Bailey's irish cream, White Creme de Menthe"
